deployment_code,pi_code,process,public,country,updated
ct35b,AWI     ,1,1,GERMANY,1
ct87,AWI     ,1,1,GERMANY,1
ct99,AWI     ,1,1,GERMANY,1
ct44,AWI     ,1,1,GERMANY,1
ct68,AWI     ,1,1,GERMANY,1
ct102,BESTER-AWI  ,1,0,GERMANY,1
wd06,AWI     ,0,0,GERMANY,0
ct113,AWI     ,0,0,GERMANY,0
ct72,IFMGEOMA,1,0,GERMANY,1
ct80,OHSHIMA ,0,0,JAPAN,0
hg37,NINA    ,1,0,NORWAY,0
hg37g,NINA    ,1,0,NORWAY,0
hg42,NINA    ,1,0,NORWAY,0
ct32,NPOLAR  ,1,0,NORWAY,1
ct34,NPOLAR  ,1,1,NORWAY,1
ct32x,NPOLAR  ,1,0,NORWAY,1
ct52,NPOLAR  ,0,0,NORWAY,0
pv34,NPOLAR  ,0,0,NORWAY,0
ct69,NPOLAR  ,0,0,NORWAY,0
ft05,NPOLAR  ,0,0,NORWAY,0
ct81,NPOLAR  ,0,0,NORWAY,0
ft08,NPOLAR  ,0,0,NORWAY,0
ct92,NPOLAR  ,0,0,NORWAY,0
ct93,NPOLAR  ,0,0,NORWAY,0
ct94,NPOLAR  ,0,0,NORWAY,0
NP02,NPOLAR  ,0,0,NORWAY,0
ct103,NPOLAR  ,0,0,NORWAY,0
hg47,UNKNOWN ,1,0,SWEDEN,0
ct45,FEDAK   ,1,1,UK,1
ct49,FEDAK   ,1,1,UK,1
ct1,FEDAK   ,1,1,UK,1
ct8,FEDAK   ,1,1,UK,1
ct58,FEDAK   ,1,1,UK,1
ct65,FEDAK   ,1,1,UK,1
ct40,FEDAK   ,1,1,UK,1
ct27x,NICHOLLS,1,1,UK,1
ct43,NICHOLLS,1,1,UK,1
ct70,NICHOLLS,1,1,UK,1
ct27,NICHOLLS,1,1,UK,1
ct104,SMRU    ,1,0,UK,1
bs2,STANILAN,1,0,UK,1
ct117,XTOPHE  ,1,0,USA,0
ct59,SPRINGER,1,0,USA,1
AL01,AFGAME  ,0,0,USA,0
ct89,BLOCK   ,1,0,USA,1
ct30,COSTA   ,1,1,USA,1
ct29,COSTA   ,1,1,USA,1
ct25,COSTA   ,1,1,USA,1
ct41,COSTA   ,1,1,USA,1
ct48,COSTA   ,1,1,USA,1
ct51,COSTA   ,1,1,USA,1
ct53,COSTA   ,1,1,USA,1
ct67,COSTA   ,1,1,USA,1
ft09,COSTA   ,1,1,USA,1
ct88,COSTA   ,1,1,USA,1
ct28,COSTA   ,1,1,USA,1
ct37,COSTA   ,1,1,USA,1
ct63,COSTA   ,1,1,USA,1
ct74,COSTA   ,1,1,USA,1
ct107,COSTA   ,1,1,USA,1
ct114,COSTA   ,0,0,USA,0
ct10,COSTA   ,1,1,USA,1
ct12,COSTA   ,1,1,USA,1
ct13,COSTA   ,1,1,USA,1
ct14,COSTA   ,1,1,USA,1
ct15,COSTA   ,1,0,USA,1
ct17,COSTA   ,1,1,USA,1
ct19,COSTA   ,1,1,USA,1
ct4,COSTA   ,1,1,USA,1
ct9,COSTA   ,1,1,USA,1
ct57,GOEBEL  ,0,0,USA,0
ct83,GOEBEL  ,0,0,USA,0
ct118,GOEBEL  ,0,0,USA,0
ct71,HOLLAND ,0,0,USA,0
rs14,HOLLAND ,0,0,USA,0
rs15,HOLLAND ,0,0,USA,0
rs17,HOLLAND ,0,0,USA,0
rs19,HOLLAND ,0,0,USA,0
rs22,HOLLAND ,0,0,USA,0
rs23,HOLLAND ,0,0,USA,0
ct121,SHANGHAI_UNIV,1,1,CHINA,1
ct128,IMOS,1,1,AUSTRALIA,0
ct122,IMOS,1,1,AUSTRALIA,0
ct119,IMOS,1,1,AUSTRALIA,0
