deployment_code,T1,T2,S1,S2,remove,Sremove,comment
ct12-107-05,0,0,0,0.32,0,0,
ct12-110-05,0,0,0,0.12,0,0,
ct120-035BAT-15,0,0,0.1,-0.6,0,0,
ct120-048BAT-15,0,0,-0.1,0.05,0,0,
ct120-049BAT-15,0,0,0,-0.15,0,0,
ct120-050BAT-15,0,0,0,0.1,0,0,
ct120-075-15,0,0,0,0,0,0,
ct120-079-15,0,0,0,0,0,0,
ct120-15fBAT-15,0,0,0,0.15,0,0,
ct120-262-15,0,0,0,0,0,0,
ct120-265BAT-15,0,0,0.05,0.1,0,0,
ct120-266BAT-15,0,0,0,0,0,0,
ct120-688BAT-15,0,0,0.03,-0.03,0,0,
ct120-695BAT-15,0,0,0.03,0,0,0,
ct120-F4-15,0,0,0,-0.6,0,0,
ct121-01-15,0,0,0.03,0.1,0,0,
ct121-02-15,0,0,0.05,0.06,0,0,
ct122-153-15,0,0,0,0,1,0,
ct122-154-15,0,0,0.02,0.03,0,0,
ct122-157-15,0,0,0,0,0,0,
ct122-158-15,0,0,0.02,0,0,0,
ct122-159-15,0,0,0,0,0,1,
ct122-32BAT-15,0,0,-0.1,-0.02,0,0,
ct122-33BAT-15,0,0,0.01,0,0,0,
ct122-35BAT-15,0,0,0.03,0,0,0,
ct122-39BAT-13,0,0,0.02,0,0,0,
ct122-42BAT-15,0,0,0,0,1,0,
ct122-43BAT-15,0,0,-0.1,0,0,0,
ct122-49BAT-15,0,0,-0.02,-0.03,0,0,
ct123-185-14,0,0,0,0,0,0,
ct123-224-14,0,0,0,0,0,0,
ct123-226-14,0,0,0,0,0,0,
ct123-363_rebat-09,0,0,0,0,0,0,
ct123-616_rebat-14,0,0,0,0,0,0,
ct123-F222_rebat-14,0,0,0,0,0,0,
ct123-F223_rebat-14,0,0,0,0,0,0,
ct123-F628_rebat2-14,0,0,0,0,0,0,
ct125-02BAT-14,0,0,0,0.1,0,0,
ct125-05BAT-14,0,0,0,0.2,0,0,
ct125-06BAT-14,0,0,0,0.1,0,1,
ct125-227-12,0,0,0,0.1,1,0,
ct125-244-12,0,0,0,0,1,0,
ct125-953-13,0,0,0,0,1,0,
ct125-F946-13,0,0,0,-0.2,1,0,
ct126-197-15,0,0,0,0.2,1,0,
ct126-366-15,0,0,0,0,1,0,
ct126-367-15,0,0,0,0,1,0,
ct127-11061-09,0,0,0,0,0,0,
ct127-11343-07,0,0,0,0,0,0,
ct127-11877-08,0,0,0,0,0,0,
ct128-261BAT-13,0,0,0,0,1,0,
ct128-700BAT-12,0,0,0,-0.3,0,0,
ct128a-246BAT-12,0.1,-0.15,0,0.05,0,0,
ct129-R189-14,0,0,0,0.13,0,0,
ct129-R229-14,0,0,0,0.2,0,0,
ct129-R234-14,0,0,0,0.12,0,0,
ct129-R235-14,0,0,0,0,0,0,
ct129-R264-14,0,0,0,0.03,0,0,
ct129-R267-14,0,0,0,-0.05,0,0,
ct129-R269-14,0,0,0,0.05,0,0,
ct129-R270-14,0,0,0,0,0,0,
ct129-R933c-13,0,0,0,-0.04,0,0,
ct129-R962-14,0,0,0,0,0,0,
ct13-057-05,0,0,0,0.16,1,0,
ct13-059-05,0,0,0,0.01,0,0,
ct13-063-05,0,0,0,0,1,0,
ct13-099-05,0,0,0,-0.14,1,0,
ct130-F55-16,0,0,0,0,0,0,
ct130-F58-16,0,0,0,0,0,0,
ct130-F65-16,0,0,0,0,0,0,
ct130-M53-16,0,0,0,0,0,0,
ct130-M65-16,0,0,0,0,0,0,
ct131-035BAT2-15,0,0,0,0,0,1,
