deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul
ct39,MUELBERT,1,1,BRAZIL,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/20/2008,12/01/2008,733427
ct46,MUELBERT,1,1,BRAZIL,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2009,06/01/2009,733774
ct56,MUELBERT,1,1,BRAZIL,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,11/19/2009,06/01/2010,734096
tu78,RIO,0,0,BRAZIL,0,,,01/07/2013,11/30/2014,735241
hd08,DFO Mont-Joli,0,0,CANADA,0,,,03/07/2018,NaT,737126
DL02,DFO Quebec,1,0,CANADA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/01/2018,NaT,737334
ct55,HAMMILL,1,1,CANADA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,03/21/2010,07/01/2010,734218
hd1,HAMMILL,0,0,CANADA,0,,,06/07/2004,01/03/2010,732105
hd2bb,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/19/2004,03/12/2005,732025
hd2f,HAMMILL,1,1,CANADA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/19/2004,01/03/2005,732025
hd2g,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,07/24/2004,06/27/2005,732152
hd3,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/27/2008,06/21/2009,733494
hd5bb,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/18/2006,12/09/2006,732754
hd5g,HAMMILL,0,0,CANADA,0,,,07/24/2005,06/14/2006,732517
hd6,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,07/22/2007,06/24/2008,733245
hg19,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,06/17/2008,01/13/2009,733576
hg4,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,04/11/2004,05/28/2005,732048
hg5,HAMMILL,0,0,CANADA,0,,,06/13/2004,06/17/2005,732111
hg9,HAMMILL,1,1,CANADA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,01/14/2007,11/13/2007,733056
