deployment_code,pi_code,process,public,country,task_done,first_version,last_version,start_date,end_date,start_date_jul
ft26,COSTA,1,1,USA,0,,,01/01/2019,NaT,737426
ct10,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,02/01/2005,06/01/2005,732344
ct107,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,05/22/2015,11/03/2015,736106
ct114,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/01/2015,NaT,736146
ct12,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,06/29/2005,11/10/2005,732492
ct126,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/01/2016,06/01/2016,736361
ct129,COSTA,1,1,USA,0,,,05/20/2016,NaT,736470
ct13,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,07/20/2005,02/01/2006,732513
ct14,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/10/2006,07/01/2006,732687
ct15,COSTA,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/25/2005,01/21/2006,732610
ct17,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,01/10/2006,07/01/2006,732687
ct19,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,08/13/2006,12/31/2006,732902
ct25,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/01/2007,01/01/2008,733043
ct28,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/03/2007,09/01/2007,733104
ct29,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,04/23/2007,08/01/2008,733155
ct30,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,06/06/2007,12/01/2007,733199
ct37,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/25/2008,12/01/2008,733432
ct4,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,06/05/2004,12/12/2004,732103
ct41,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,02/01/2008,04/01/2009,733439
ct48,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/18/2009,12/25/2009,733791
ct51,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,02/18/2009,06/01/2009,733822
ct53,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,05/01/2009,01/30/2010,733894
ct63,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/25/2010,12/01/2010,734163
ct67,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,03/22/2010,08/01/2010,734219
ct74,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/21/2011,12/16/2011,734524
ct88,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,01/26/2012,11/01/2012,734894
ct9,COSTA,1,1,USA,0,MEOP-CTD_2015-05-31,MEOP-CTD_2018-04-10,02/01/2005,01/01/2006,732344
ft09,COSTA,1,1,USA,0,MEOP-CTD_2016-07-12,MEOP-CTD_2018-04-10,06/04/2011,01/01/2012,734658
ct118,GOEBEL,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/12/2015,NaT,736007
ct143,GOEBEL,1,1,USA,0,,,04/20/2018,NaT,737170
ct57,GOEBEL,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,02/20/2010,09/01/2011,734189
ct83,GOEBEL,1,1,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,03/03/2014,06/24/2014,735661
ct71,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/31/2010,04/20/2011,734381
rs14,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,09/14/2012,04/01/2013,735126
rs15,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/28/2012,12/01/2014,735109
rs17,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/01/2013,06/01/2014,735447
rs19,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/01/2013,07/01/2014,735447
rs22,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/01/2014,02/01/2015,735812
rs23,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,09/01/2015,12/01/2015,736208
rs27,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/01/2016,12/01/2016,736543
rs29,HOLLAND,1,0,USA,0,,,08/04/2016,NaT,736546
rs31,HOLLAND,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,07/15/2017,NaT,736891
rs34,HOLLAND,1,0,USA,0,,,07/25/2018,NaT,737266
ct59,SPRINGER,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,10/21/2009,05/01/2010,734067
DL01,STANTEC,0,0,USA,0,,,06/06/2018,NaT,737217
eb03,STANTEC,1,0,USA,0,MEOP-CTD_2017-11-11,MEOP-CTD_2018-04-10,08/10/2015,NaT,736186
eb04,STANTEC,1,0,USA,0,,,08/14/2016,02/10/2017,736556
